|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |        5000 |       08:52:36 |         0.59 |         0.63 |       0.1747 |       0.2001 |      1.0000e-04 |
|      12 |        5050 |       08:57:52 |         0.49 |         0.62 |       0.1197 |       0.1901 |      1.0000e-04 |
|      12 |        5100 |       09:03:10 |         0.57 |         0.62 |       0.1626 |       0.1904 |      1.0000e-04 |
|      12 |        5150 |       09:08:29 |         0.57 |         0.62 |       0.1602 |       0.1911 |      1.0000e-04 |
|      12 |        5200 |       09:13:49 |         0.58 |         0.63 |       0.1677 |       0.1954 |      1.0000e-04 |
|      13 |        5250 |       09:19:07 |         0.66 |         0.61 |       0.2163 |       0.1876 |      1.0000e-04 |
|      13 |        5300 |       09:24:22 |         0.59 |         0.62 |       0.1720 |       0.1935 |      1.0000e-04 |
|      13 |        5350 |       09:29:38 |         0.63 |         0.61 |       0.1955 |       0.1881 |      1.0000e-04 |
|      13 |        5400 |       09:34:56 |         0.57 |         0.61 |       0.1629 |       0.1862 |      1.0000e-04 |
|      13 |        5450 |       09:40:13 |         0.61 |         0.62 |       0.1838 |       0.1943 |      1.0000e-04 |
|      13 |        5500 |       09:45:27 |         0.57 |         0.60 |       0.1606 |       0.1815 |      1.0000e-04 |
|      13 |        5550 |       09:50:40 |         0.56 |         0.60 |       0.1588 |       0.1821 |      1.0000e-04 |
|      13 |        5600 |       09:55:54 |         0.60 |         0.60 |       0.1811 |       0.1805 |      1.0000e-04 |
|      13 |        5650 |       10:01:12 |         0.60 |         0.61 |       0.1775 |       0.1835 |      1.0000e-04 |
|      14 |        5700 |       10:06:31 |         0.70 |         0.60 |       0.2425 |       0.1789 |      1.0000e-04 |
|      14 |        5750 |       10:11:47 |         0.60 |         0.60 |       0.1772 |       0.1791 |      1.0000e-04 |
|      14 |        5800 |       10:17:03 |         0.59 |         0.60 |       0.1714 |       0.1777 |      1.0000e-04 |
|      14 |        5850 |       10:22:18 |         0.56 |         0.60 |       0.1585 |       0.1781 |      1.0000e-04 |
|      14 |        5900 |       10:27:36 |         0.55 |         0.61 |       0.1494 |       0.1866 |      1.0000e-04 |
|      14 |        5950 |       10:32:52 |         0.54 |         0.60 |       0.1431 |       0.1795 |      1.0000e-04 |
|      14 |        6000 |       10:38:13 |         0.58 |         0.59 |       0.1686 |       0.1748 |      1.0000e-04 |
|      14 |        6050 |       10:43:28 |         0.46 |         0.60 |       0.1072 |       0.1779 |      1.0000e-04 |
|      15 |        6100 |       10:48:42 |         0.54 |         0.59 |       0.1431 |       0.1764 |      1.0000e-04 |
|      15 |        6150 |       10:54:02 |         0.57 |         0.59 |       0.1608 |       0.1740 |      1.0000e-04 |
|      15 |        6200 |       10:59:16 |         0.56 |         0.60 |       0.1562 |       0.1797 |      1.0000e-04 |
|      15 |        6250 |       11:04:33 |         0.56 |         0.59 |       0.1568 |       0.1727 |      1.0000e-04 |
|      15 |        6300 |       11:09:50 |         0.51 |         0.59 |       0.1288 |       0.1714 |      1.0000e-04 |
|      15 |        6350 |       11:15:06 |         0.60 |         0.58 |       0.1796 |       0.1705 |      1.0000e-04 |
|      15 |        6400 |       11:20:19 |         0.53 |         0.58 |       0.1431 |       0.1694 |      1.0000e-04 |
|      15 |        6450 |       11:25:34 |         0.58 |         0.58 |       0.1662 |       0.1698 |      1.0000e-04 |
|      15 |        6500 |       11:30:49 |         0.61 |         0.59 |       0.1844 |       0.1734 |      1.0000e-04 |
|      16 |        6550 |       11:36:04 |         0.52 |         0.58 |       0.1356 |       0.1708 |      1.0000e-04 |
|      16 |        6600 |       11:41:17 |         0.54 |         0.58 |       0.1461 |       0.1700 |      1.0000e-04 |
|      16 |        6650 |       11:46:41 |         0.51 |         0.59 |       0.1293 |       0.1744 |      1.0000e-04 |
|      16 |        6700 |       11:51:58 |         0.60 |         0.58 |       0.1785 |       0.1664 |      1.0000e-04 |
|      16 |        6750 |       11:57:17 |         0.54 |         0.57 |       0.1471 |       0.1635 |      1.0000e-04 |
|      16 |        6800 |       12:02:33 |         0.61 |         0.58 |       0.1847 |       0.1686 |      1.0000e-04 |
|      16 |        6850 |       12:07:48 |         0.58 |         0.57 |       0.1672 |       0.1643 |      1.0000e-04 |
|      16 |        6900 |       12:13:10 |         0.51 |         0.58 |       0.1299 |       0.1682 |      1.0000e-04 |
|      16 |        6950 |       12:18:25 |         0.58 |         0.57 |       0.1658 |       0.1609 |      1.0000e-04 |
|      17 |        7000 |       12:23:40 |         0.56 |         0.57 |       0.1591 |       0.1627 |      1.0000e-04 |
|      17 |        7050 |       12:28:56 |         0.51 |         0.58 |       0.1284 |       0.1682 |      1.0000e-04 |
